id,city,city_ascii,state_id,state_name,county_name,lat,lng,population
1,New York,New York,NY,New York,Queens,40.6943,-73.9249,18680025
2,Los Angeles,Los Angeles,CA,California,Los Angeles,34.1141,-118.4068,12531334
3,Chicago,Chicago,IL,Illinois,Cook,41.8375,-87.6866,8586888
4,Miami,Miami,FL,Florida,Miami-Dade,25.7840,-80.2101,6076316
5,Dallas,Dallas,TX,Texas,Dallas,32.7935,-96.7667,5910669
6,Houston,Houston,TX,Texas,Harris,29.7860,-95.3885,5724418
7,Philadelphia,Philadelphia,PA,Pennsylvania,Philadelphia,40.0077,-75.1339,5540199
8,Atlanta,Atlanta,GA,Georgia,Fulton,33.7628,-84.4220,5151496
9,Washington,Washington,DC,District of Columbia,District of Columbia,38.9047,-77.0163,5066973
10,Boston,Boston,MA,Massachusetts,Suffolk,42.3188,-71.0852,4465966
11,Phoenix,Phoenix,AZ,Arizona,Maricopa,33.5722,-112.0892,4187723
12,Detroit,Detroit,MI,Michigan,Wayne,42.3834,-83.1024,3731486
13,San Francisco,San Francisco,CA,California,San Francisco,37.7558,-122.4449,3557982
14,Seattle,Seattle,WA,Washington,King,47.6211,-122.3244,3530752
15,San Diego,San Diego,CA,California,San Diego,32.8313,-117.1222,3178495
16,Minneapolis,Minneapolis,MN,Minnesota,Hennepin,44.9635,-93.2678,2885614
17,Tampa,Tampa,FL,Florida,Hillsborough,27.9945,-82.4447,2771700
18,Brooklyn,Brooklyn,NY,New York,Kings,40.6501,-73.9496,2736074
19,Denver,Denver,CO,Colorado,Denver,39.7620,-104.8758,2709398
20,Queens,Queens,NY,New York,Queens,40.7498,-73.7976,2405464
21,Baltimore,Baltimore,MD,Maryland,Baltimore,39.3051,-76.6144,2270087
22,Las Vegas,Las Vegas,NV,Nevada,Clark,36.2333,-115.2654,2165405
23,St. Louis,St. Louis,MO,Missouri,St. Louis,38.6359,-90.2451,2144317
24,Riverside,Riverside,CA,California,Riverside,33.9381,-117.3949,2112239
25,Portland,Portland,OR,Oregon,Multnomah,45.5371,-122.6500,2072553
26,San Antonio,San Antonio,TX,Texas,Bexar,29.4632,-98.5238,2036324
27,Sacramento,Sacramento,CA,California,Sacramento,38.5677,-121.4685,1882358
28,San Juan,San Juan,PR,Puerto Rico,San Juan,18.3985,-66.0610,1854549
29,San Jose,San Jose,CA,California,Santa Clara,37.3012,-121.8480,1797166
30,Orlando,Orlando,FL,Florida,Orange,28.4773,-81.3370,1792047
31,Cleveland,Cleveland,OH,Ohio,Cuyahoga,41.4764,-81.6805,1742437
32,Pittsburgh,Pittsburgh,PA,Pennsylvania,Allegheny,40.4397,-79.9763,1719289
33,Manhattan,Manhattan,NY,New York,New York,40.7834,-73.9662,1694263
34,Austin,Austin,TX,Texas,Travis,30.3005,-97.7522,1685522
35,Cincinnati,Cincinnati,OH,Ohio,Hamilton,39.1413,-84.5060,1684800
36,Indianapolis,Indianapolis,IN,Indiana,Marion,39.7771,-86.1458,1636763
37,Kansas City,Kansas City,MO,Missouri,Jackson,39.1238,-94.5541,1602005
38,Columbus,Columbus,OH,Ohio,Franklin,39.9862,-82.9855,1547862
39,Charlotte,Charlotte,NC,North Carolina,Mecklenburg,35.2083,-80.8303,1526465
40,Virginia Beach,Virginia Beach,VA,Virginia,Virginia Beach,36.7335,-76.0435,1475522
41,Bronx,Bronx,NY,New York,Bronx,40.8501,-73.8662,1472654
42,Milwaukee,Milwaukee,WI,Wisconsin,Milwaukee,43.0642,-87.9675,1390046
43,Providence,Providence,RI,Rhode Island,Providence,41.8230,-71.4187,1204385
44,Jacksonville,Jacksonville,FL,Florida,Duval,30.3322,-81.6749,1165107
45,Salt Lake City,Salt Lake City,UT,Utah,Salt Lake,40.7776,-111.9311,1135747
46,Nashville,Nashville,TN,Tennessee,Davidson,36.1715,-86.7842,1081876
47,Raleigh,Raleigh,NC,North Carolina,Wake,35.8324,-78.6429,1073795
48,Memphis,Memphis,TN,Tennessee,Shelby,35.1087,-89.9663,1072330
49,Richmond,Richmond,VA,Virginia,Richmond,37.5295,-77.4756,1025117
50,Louisville,Louisville,KY,Kentucky,Jefferson,38.1663,-85.6485,1004821
51,New Orleans,New Orleans,LA,Louisiana,Orleans,30.0687,-89.9288,957783
52,Bridgeport,Bridgeport,CT,Connecticut,Fairfield,41.1918,-73.1954,948918
53,Oklahoma City,Oklahoma City,OK,Oklahoma,Oklahoma,35.4676,-97.5136,947247
54,Buffalo,Buffalo,NY,New York,Erie,42.9018,-78.8487,926607
55,Hartford,Hartford,CT,Connecticut,Hartford,41.7661,-72.6834,918434
56,Fort Worth,Fort Worth,TX,Texas,Tarrant,32.7817,-97.3474,892221
57,Tucson,Tucson,AZ,Arizona,Pima,32.1541,-110.8787,883127
58,Honolulu,Honolulu,HI,Hawaii,Honolulu,21.3294,-157.8460,834138
59,McAllen,McAllen,TX,Texas,Hidalgo,26.2252,-98.2467,805270
60,El Paso,El Paso,TX,Texas,El Paso,31.8476,-106.4300,798217
61,Omaha,Omaha,NE,Nebraska,Douglas,41.2627,-96.0529,791432
62,Albuquerque,Albuquerque,NM,New Mexico,Bernalillo,35.1054,-106.6465,762853
63,Birmingham,Birmingham,AL,Alabama,Jefferson,33.5279,-86.7971,753721
64,Sarasota,Sarasota,FL,Florida,Sarasota,27.3387,-82.5432,727388
65,Dayton,Dayton,OH,Ohio,Montgomery,39.7805,-84.2003,723844
66,Rochester,Rochester,NY,New York,Monroe,43.1680,-77.6162,720189
67,Fresno,Fresno,CA,California,Fresno,36.7830,-119.7939,702486
68,Tulsa,Tulsa,OK,Oklahoma,Tulsa,36.1283,-95.9042,698349
69,Allentown,Allentown,PA,Pennsylvania,Lehigh,40.5961,-75.4756,688658
70,Concord,Concord,CA,California,Contra Costa,37.9722,-122.0016,667250
71,Cape Coral,Cape Coral,FL,Florida,Lee,26.6443,-81.9957,649339
72,Charleston,Charleston,SC,South Carolina,Charleston,32.8168,-79.9687,645413
73,Colorado Springs,Colorado Springs,CO,Colorado,El Paso,38.8674,-104.7605,621332
74,Springfield,Springfield,MA,Massachusetts,Hampden,42.1155,-72.5395,615728
75,Grand Rapids,Grand Rapids,MI,Michigan,Kent,42.9619,-85.6562,615273
76,Ogden,Ogden,UT,Utah,Weber,41.2279,-111.9682,615015
77,Columbia,Columbia,SC,South Carolina,Richland,34.0378,-80.9036,609689
78,Baton Rouge,Baton Rouge,LA,Louisiana,East Baton Rouge,30.4420,-91.1311,605449
79,Knoxville,Knoxville,TN,Tennessee,Knox,35.9692,-83.9496,603685
80,Mission Viejo,Mission Viejo,CA,California,Orange,33.6096,-117.6551,600802
81,Albany,Albany,NY,New York,Albany,42.6664,-73.7987,590823
82,Akron,Akron,OH,Ohio,Summit,41.0798,-81.5219,570375
83,New Haven,New Haven,CT,Connecticut,New Haven,41.3113,-72.9246,566683
84,Provo,Provo,UT,Utah,Utah,40.2457,-111.6457,563884
85,Bakersfield,Bakersfield,CA,California,Kern,35.3529,-119.0359,556892
86,Murrieta,Murrieta,CA,California,Riverside,33.5719,-117.1909,524133
87,Des Moines,Des Moines,IA,Iowa,Polk,41.5725,-93.6105,519180
88,Worcester,Worcester,MA,Massachusetts,Worcester,42.2705,-71.8079,516483
89,Mesa,Mesa,AZ,Arizona,Maricopa,33.4015,-111.7178,508918
90,Toledo,Toledo,OH,Ohio,Lucas,41.6638,-83.5827,498645
91,Palm Bay,Palm Bay,FL,Florida,Brevard,27.9631,-80.6593,496640
92,Staten Island,Staten Island,NY,New York,Richmond,40.5834,-74.1496,495747
93,Wichita,Wichita,KS,Kansas,Sedgwick,37.6895,-97.3443,484715
94,Harrisburg,Harrisburg,PA,Pennsylvania,Dauphin,40.2752,-76.8843,472261
95,Long Beach,Long Beach,CA,California,Los Angeles,33.7977,-118.1670,462081
96,Little Rock,Little Rock,AR,Arkansas,Pulaski,34.7256,-92.3577,446814
97,Madison,Madison,WI,Wisconsin,Dane,43.0822,-89.3930,445499
98,Greenville,Greenville,SC,South Carolina,Greenville,34.8354,-82.3646,441303
99,Reno,Reno,NV,Nevada,Washoe,39.5497,-119.8483,440547
100,Port St. Lucie,Port St. Lucie,FL,Florida,St. Lucie,27.2796,-80.3884,435182
101,Lancaster,Lancaster,PA,Pennsylvania,Lancaster,40.0420,-76.3012,430621
102,Spokane,Spokane,WA,Washington,Spokane,47.6671,-117.4330,426849
103,Denton,Denton,TX,Texas,Denton,33.2175,-97.1418,425901
104,Poughkeepsie,Poughkeepsie,NY,New York,Dutchess,41.6950,-73.9211,423386
105,Oakland,Oakland,CA,California,Alameda,37.7904,-122.2166,422575
106,Winston-Salem,Winston-Salem,NC,North Carolina,Forsyth,36.1029,-80.2610,416394
107,Syracuse,Syracuse,NY,New York,Onondaga,43.0407,-76.1437,407942
108,Boise,Boise,ID,Idaho,Ada,43.6005,-116.2308,407550
109,Chattanooga,Chattanooga,TN,Tennessee,Hamilton,35.0660,-85.2481,404766
110,Augusta,Augusta,GA,Georgia,Richmond,33.3645,-82.0708,404125
111,Arlington,Arlington,TX,Texas,Tarrant,32.6998,-97.1250,397269
112,Stockton,Stockton,CA,California,San Joaquin,37.9765,-121.3109,394919
113,Durham,Durham,NC,North Carolina,Durham,35.9792,-78.9022,391371
114,Palm Coast,Palm Coast,FL,Florida,Flagler,29.5389,-81.2457,386415
115,Scranton,Scranton,PA,Pennsylvania,Lackawanna,41.4044,-75.6649,380870
116,Aurora,Aurora,CO,Colorado,Arapahoe,39.7083,-104.7237,379434
117,Oxnard,Oxnard,CA,California,Ventura,34.1964,-119.1815,378990
118,Modesto,Modesto,CA,California,Stanislaus,37.6375,-121.0028,376717
119,Indio,Indio,CA,California,Riverside,33.7346,-116.2346,367174
120,Kissimmee,Kissimmee,FL,Florida,Osceola,28.3041,-81.4169,366003
121,Youngstown,Youngstown,OH,Ohio,Mahoning,41.0993,-80.6463,363541
122,Pensacola,Pensacola,FL,Florida,Escambia,30.4413,-87.1911,360711
123,Lancaster,Lancaster,CA,California,Los Angeles,34.6935,-118.1753,353619
124,Anaheim,Anaheim,CA,California,Orange,33.8390,-117.8574,353085
125,Fayetteville,Fayetteville,AR,Arkansas,Washington,36.0714,-94.1661,350995
126,Jackson,Jackson,MS,Mississippi,Hinds,32.3157,-90.2125,350373
127,Victorville,Victorville,CA,California,San Bernardino,34.5277,-117.3536,350275
128,Bonita Springs,Bonita Springs,FL,Florida,Lee,26.3558,-81.7859,347581
129,Greensboro,Greensboro,NC,North Carolina,Guilford,36.0956,-79.8271,343505
130,Corpus Christi,Corpus Christi,TX,Texas,Nueces,27.7254,-97.3767,343031
131,Flint,Flint,MI,Michigan,Genesee,43.0236,-83.6921,339283
132,Fayetteville,Fayetteville,NC,North Carolina,Cumberland,35.0850,-78.9772,333366
133,Santa Ana,Santa Ana,CA,California,Orange,33.7367,-117.8819,332610
